PPI,Porosity,Re,Dh,f,Nu
20,0.95,1500,0.004615,7.12426,91.4926
40,0.8,1100,0.003,10.6776,119.625
50,0.85,1500,0.0042,20.3569,129.395
40,0.95,900,0.005357,24.2931,74.1788
5,0.8,300,0.005455,2.25247,56.9441
30,0.95,900,0.004615,13.3393,70.2001
50,0.98,1100,0.005217,26.8331,62.3089
10,0.98,100,0.004615,7.1841,16.7424
20,0.95,1300,0.00375,5.76868,80.1603
40,0.95,700,0.005357,27.3258,65.477
20,0.85,300,0.005217,17.6928,63.1296
10,0.9,500,0.005455,4.75899,61.674
10,0.85,500,0.005455,4.74835,72.1078
30,0.8,700,0.0042,15.0126,104.509
10,0.98,300,0.004615,4.17245,27.798
40,0.85,500,0.00375,22.9568,79.752
5,0.85,1500,0.005217,1.45031,110.43
30,0.85,1300,0.005455,15.049,127.895
20,0.95,1700,0.005357,8.26388,102.362
5,0.85,300,0.005,2.03348,49.3393
5,0.95,900,0.004615,1.66985,65.0714
20,0.9,1700,0.004615,6.64491,117.686
30,0.95,100,0.004615,49.2117,25.8867
20,0.95,1500,0.005,7.80727,93.4163
40,0.85,1500,0.0042,14.6803,128.353
40,0.8,700,0.00375,20.0328,104.951
50,0.85,1500,0.00375,17.2213,125.141
40,0.8,1300,0.005357,23.9679,145.308
30,0.9,900,0.003,7.66257,79.4139
30,0.95,1300,0.003,7.12227,75.0637
10,0.95,700,0.0042,3.33168,56.2226
50,0.85,1300,0.00375,18.4724,117.815
10,0.95,700,0.005357,4.32326,58.7346
30,0.95,900,0.004615,13.3393,70.2001
40,0.85,900,0.005,25.0564,107.099
20,0.9,300,0.005357,16.4983,53.3982
10,0.85,300,0.005,5.43364,57.693
30,0.95,1100,0.005357,15.1614,81.3741
50,0.8,1700,0.005,26.0823,162.469
10,0.95,100,0.00375,5.92291,24.0192
50,0.95,500,0.0042,31.8525,52.5277
50,0.9,1300,0.005357,30.0947,112.313
50,0.95,1700,0.004615,21.2632,97.2484
20,0.98,300,0.00375,8.21079,28.497
5,0.85,1500,0.004615,1.28934,109.237
10,0.9,700,0.00375,2.8175,67.4033
30,0.95,1100,0.005,13.8684,79.647
40,0.98,1700,0.004615,14.342,76.382
10,0.9,1300,0.005217,3.56879,99.6371
10,0.95,1500,0.0042,2.99215,92.0344
10,0.9,500,0.004615,3.90222,59.719
10,0.9,300,0.005217,5.52207,48.7136
40,0.8,100,0.005357,203.404,46.3889
10,0.85,900,0.005,3.44311,92.4515
5,0.98,1300,0.005217,1.60037,75.4603
